Patient_ID	Gene	Value	Category
GSM2363530_1	ABCA8	0.820597014925373	Normal
GSM2363530_1	CUX2	0.06577684452685538	Normal
GSM2363530_1	CYP1B1-AS1	0.253799336230335	Normal
GSM2363530_1	FGD2	0.0942226295456243	Normal
GSM2363530_1	FGF13	0.1091123142908472	Normal
GSM2363530_1	HORMAD2	0.14992243081456585	Normal
GSM2363530_1	LRRC25	0.04329259112322685	Normal
GSM2363530_1	MARK2P9	0.0525729900063249	Normal
GSM2363530_1	MCHR2	0.05971707610996605	Normal
GSM2363530_1	MTMR11	0.7350735985318991	Normal
GSM2363530_1	PAX9	0.14764923126028442	Normal
GSM2363530_1	PTPN22	0.05119143369923333	Normal
GSM2363530_1	RAP1GAP2	0.04347731108384741	Normal
GSM2363530_1	SPAG6	0.04119704301444088	Normal
GSM2363532_1	ABCA8	0.847680777800284	Normal
GSM2363532_1	CUX2	0.0978672120691174	Normal
GSM2363532_1	CYP1B1-AS1	0.348298135121492	Normal
GSM2363532_1	FGD2	0.1661564914485035	Normal
GSM2363532_1	FGF13	0.4383446872517051	Normal
GSM2363532_1	HORMAD2	0.2518033100131959	Normal
GSM2363532_1	LRRC25	0.07444651854624615	Normal
GSM2363532_1	MARK2P9	0.06735807465993565	Normal
GSM2363532_1	MCHR2	0.09478046510669112	Normal
GSM2363532_1	MTMR11	0.7512214721207912	Normal
GSM2363532_1	PAX9	0.1602837612526993	Normal
GSM2363532_1	PTPN22	0.05545572301469813	Normal
GSM2363532_1	RAP1GAP2	0.05052605948847602	Normal
GSM2363532_1	SPAG6	0.04908275312699858	Normal
GSM2363533_1	ABCA8	0.830231596360629	Normal
GSM2363533_1	CUX2	0.0980687495448935	Normal
GSM2363533_1	CYP1B1-AS1	0.32878053480465597	Normal
GSM2363533_1	FGD2	0.15509740852961762	Normal
GSM2363533_1	FGF13	0.43596852763759425	Normal
GSM2363533_1	HORMAD2	0.21625894319599986	Normal
GSM2363533_1	LRRC25	0.05130898293612165	Normal
GSM2363533_1	MARK2P9	0.05391801240734205	Normal
GSM2363533_1	MCHR2	0.07784480118168208	Normal
GSM2363533_1	MTMR11	0.767430211871259	Normal
GSM2363533_1	PAX9	0.14704277002004282	Normal
GSM2363533_1	PTPN22	0.05948407226929907	Normal
GSM2363533_1	RAP1GAP2	0.06398895602159951	Normal
GSM2363533_1	SPAG6	0.05093532862614206	Normal
GSM2363535_1	ABCA8	0.838584474885845	Normal
GSM2363535_1	CUX2	0.09846779045645154	Normal
GSM2363535_1	CYP1B1-AS1	0.38173276126531397	Normal
GSM2363535_1	FGD2	0.1706774514386349	Normal
GSM2363535_1	FGF13	0.45250195029166945	Normal
GSM2363535_1	HORMAD2	0.23811634498352688	Normal
GSM2363535_1	LRRC25	0.0746861506476891	Normal
GSM2363535_1	MARK2P9	0.06536483639862214	Normal
GSM2363535_1	MCHR2	0.09441490164949005	Normal
GSM2363535_1	MTMR11	0.7621725747301994	Normal
GSM2363535_1	PAX9	0.1440398683184224	Normal
GSM2363535_1	PTPN22	0.0643435272459319	Normal
GSM2363535_1	RAP1GAP2	0.059511325951925584	Normal
GSM2363535_1	SPAG6	0.05040112817737133	Normal
GSM2363537_1	ABCA8	0.806691449814126	Normal
GSM2363537_1	CUX2	0.09449206751430493	Normal
GSM2363537_1	CYP1B1-AS1	0.2893458157665235	Normal
GSM2363537_1	FGD2	0.14891232911238975	Normal
GSM2363537_1	FGF13	0.12142355185283538	Normal
GSM2363537_1	HORMAD2	0.1987236878973173	Normal
GSM2363537_1	LRRC25	0.0656633152492527	Normal
GSM2363537_1	MARK2P9	0.050315331866096255	Normal
GSM2363537_1	MCHR2	0.08705164620591738	Normal
GSM2363537_1	MTMR11	0.7282298505031426	Normal
GSM2363537_1	PAX9	0.13593087190067427	Normal
GSM2363537_1	PTPN22	0.06699695624858946	Normal
GSM2363537_1	RAP1GAP2	0.047534860976014885	Normal
GSM2363537_1	SPAG6	0.04949717379624076	Normal
GSM2363539_1	ABCA8	0.833260201842914	Normal
GSM2363539_1	CUX2	0.09490047233737355	Normal
GSM2363539_1	CYP1B1-AS1	0.268536557282248	Normal
GSM2363539_1	FGD2	0.15625612387715532	Normal
GSM2363539_1	FGF13	0.11802886826129443	Normal
GSM2363539_1	HORMAD2	0.20554805099247872	Normal
GSM2363539_1	LRRC25	0.07039322014202305	Normal
GSM2363539_1	MARK2P9	0.059575714498171145	Normal
GSM2363539_1	MCHR2	0.08927806668170543	Normal
GSM2363539_1	MTMR11	0.7264533914068304	Normal
GSM2363539_1	PAX9	0.14123515692101138	Normal
GSM2363539_1	PTPN22	0.0555412468375239	Normal
GSM2363539_1	RAP1GAP2	0.05583645050006275	Normal
GSM2363539_1	SPAG6	0.05225374112602354	Normal
GSM2363545_1	ABCA8	0.885490579887448	Normal
GSM2363545_1	CUX2	0.08845825966227702	Normal
GSM2363545_1	CYP1B1-AS1	0.3318357174740155	Normal
GSM2363545_1	FGD2	0.11928886292645385	Normal
GSM2363545_1	FGF13	0.12578594245773966	Normal
GSM2363545_1	HORMAD2	0.19901062523315122	Normal
GSM2363545_1	LRRC25	0.0713453995248232	Normal
GSM2363545_1	MARK2P9	0.049029016443021003	Normal
GSM2363545_1	MCHR2	0.10348563962235227	Normal
GSM2363545_1	MTMR11	0.7715864042664459	Normal
GSM2363545_1	PAX9	0.15264516065143996	Normal
GSM2363545_1	PTPN22	0.072433368800371	Normal
GSM2363545_1	RAP1GAP2	0.05619365126627152	Normal
GSM2363545_1	SPAG6	0.0601091362850818	Normal
